Nivå	Typeinndeling	HTG	HT	GT_nr	Basic type	S_kode	Name	Name_EN	Kortnavn	Beskrivelse	KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap	rekkefølge_kjeding_klg					
LA	TI	I	I-A			LA-TI-I-A	Innlandsås- og fjellandskap	Hills and mountains	Innlandsås- og fjellandskap	Innlandsås- og fjellandskap omfatter større konkave og konvekse landformer uten kystlinje, med større høydeforskjeller enn 50 meter innenfor en kilometer, og som ikke  tilfredsstiller kriteriene for verken dal eller innlandsslette. Landformene i ås- og fjelltopplandskap er resultatet av et stort mangfold av geologiske og landformdannende prosesser.	KLG_RE-IA						KLG_BP		KLG_VE	KLG_AI		KLG_JP	0		KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-D			LA-TI-I-D	Innlandsdallandskap	Valleys	Innlandsdallandskap	Hovedtypen dallandskap omfatter større sammenhengende daler i landskapet, som oftest med U-profil, som i store trekk er skapt av erosjonsprosesser primært knyttet til breer.		KLG_RE-ID-KF				KLG_IP	KLG_BP		KLG_VE	KLG_AI		KLG_JP	0		KLG_RE-ID-KF,KLG_VE,KLG_IP,KLG_BP,KLG_AI,KLG_JP					
LA	TI	I	I-S			LA-TI-I-S	Innlandsslettelandskap	Inland irregular plains	Innlandsslettelandskap	Hovedtypen innlandsslettelandskap omfatter landskap uten kystlinje, der høydeforskjellene innenfor en kilometer ikke overstiger 50 meter. Hovedtypen omfatter fjellvidder, skog- og forfjellsvidder, leirsletter og lavlandssletter. Utformingen av slettelandskapet er resultatet av et stort mangfold av geologiske og landformdannende prosesser.				KLG_KA			KLG_BP	KLG_VP	KLG_VE	KLG_AI		KLG_JP	0		KLG_KA,KLG_VE,KLG_VP,KLG_BP,KLG_AI,KLG_JP					
LA	TI	K	K-F			LA-TI-K-F	Fjordlandskap	Fjords	Fjordlandskap	Hovedtypen fjordlandskap omfatter større sammenhengende fjorder. Dette er normalt U-daler som ligger under havnivå, og har kontakt med havet. Fjordene er skapt av breer som har gravd under havnivå.		KLG_RE-ID-KF						KLG_VP		KLG_AI		KLG_JP	0		KLG_RE-ID-KF,KLG_VP,KLG_AI,KLG_JP					
LA	TI	K	K-S			LA-TI-K-S	Kystslettelandskap	Coastal plains	Kystslettelandskap	Kystslettelandskapet omfatter den lave bremen av land beliggende omkring kystlinja som veksler mellom +50 og –50 m o.h., og som ofte omfatter et mylder av skjær og øyer. Mesteparten av kystslettelandskapet ligger under havnivå. Kystslettelandskapet mellom Rogaland og Nordkapp omtales gjerne som strandflaten. Denne avgrenses mot innlandet av markante åser og fjell. Det er vanlig med ‘restfjell’ på strandflaten, dvs. isolerte fjell og åser som står høyere enn kystslettelandskapet omkring, med en brem av lavt/flatt land omkring (f.eks. Træna, Torghatten, Lovund, m.fl.).  Landformen er skapt av et samvirke mellom flere ulike landformprosesser i hovedsak knyttet til nedisning, erosjon fra breer, bølgeerosjon og frostforvitring. I hovedtypen kystslette inngår også annet kysttilknyttet landskap med tilsvarende relativt relieff.			KLG_RE-KS		KLG_IYK			KLG_VP			KLG_AI-KS	KLG_JP	0		KLG_IYK,KLG_RE-KS,KLG_VP,KLG_AI-KS,KLG_JP					
LA	TI	I				LA-TI-I	Innlandslandskap	Inland	Innlandslandskap	Hovedtypegruppa innlandslandskap omfatter alle landskap uten kystlinje, og omfatter hovedtypene dal-, slette, ås- og fjellandskap.													0							
LA	TI	K				LA-TI-K	Kystlandskap	Coast	Kystlandskap	Hovedtypegruppa kystlandskap omfatter alle landskap i kystsonen, i overgangen mellom hav og land. Gruppa omfatter hovedtypene fjordlandskap, kystslettelandskap og kystås- og fjellandskap, og skilles fra rent marine og rent terrestre landskap ved forekomst av kystlinje.													0							
LA	TI	M				LA-TI-M	Marine landskap	Marine	Marine landskap	Marine landskap er landskap som i sin helhet ligger under havnivå og som derfor mangler kystlinje.													0							
LA	TI	I	I-A	1	I-A-1	LA-TI-I-A-1	Grunne daler i ås- og fjellandskap under skoggrensen	Concave-shaped hills	Dalformet åslandskap		KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	1	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	2	I-A-2	LA-TI-I-A-2	Grunne daler i ås- og fjellandskap under skoggrensen med jordbruksdominans	Concave-shaped hills with agriculture	Dalformet åslandskap med jordbruksdominans		KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	2	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
